UID	Base_Price	Sakhalin_OPT
80186cf8-8c3b-11e2-b580-000d88394cae	8731.32	7011.84
240aa5e5-d2b3-11e4-a249-000d88394cae	19075.89	15574.14
37f095e0-ebfd-11dd-a964-0016d341a9fb	1323.02	1185.58
37f095e2-ebfd-11dd-a964-0016d341a9fb	1916.14	1839.49
4e9d5a82-7fa5-11e1-997b-6cf04914883f	1980.46	1732.38
4e9d5a84-7fa5-11e1-997b-6cf04914883f	2851.06	2737.02
a7df569c-98d2-11dd-a8f5-0016d341a9fb	3509.88	3369.49
a7df56a3-98d2-11dd-a8f5-0016d341a9fb	5926.06	5689.02
a6450100-5704-11df-aeed-000a94026913	10328.20	9915.07
a6450102-5704-11df-aeed-000a94026913	17366.00	16671.36
a7df569e-98d2-11dd-a8f5-0016d341a9fb	3862.32	3707.82
a7df56a1-98d2-11dd-a8f5-0016d341a9fb	8484.12	6355.58
0217a19f-a33c-11df-b511-000a94026913	10786.32	10354.86
e45bd61b-ae64-11e0-be7a-002511c4eb4e	15742.18	15112.50
dd5fd756-58f3-11ea-b113-000d88394cae	671.50	758.40
dd5fd764-58f3-11ea-b113-000d88394cae	377.40	426.24
dd5fd759-58f3-11ea-b113-000d88394cae	1147.50	1296.00
dd5fd767-58f3-11ea-b113-000d88394cae	1370.20	1547.52
dd5fd75c-58f3-11ea-b113-000d88394cae	1853.00	2092.80
dd5fd75f-58f3-11ea-b113-000d88394cae	2441.20	2757.12
1b5329fb-590f-11ea-b113-000d88394cae	207.40	234.24
1b5329fd-590f-11ea-b113-000d88394cae	239.70	270.72
1b5329ff-590f-11ea-b113-000d88394cae	272.00	307.20
1b532a12-590f-11ea-b113-000d88394cae	406.30	458.88
1b532a15-590f-11ea-b113-000d88394cae	465.80	526.08
1b532a17-590f-11ea-b113-000d88394cae	523.60	591.36
1b532a19-590f-11ea-b113-000d88394cae	283.90	320.64
1b532a1b-590f-11ea-b113-000d88394cae	341.70	385.92
1b532a1d-590f-11ea-b113-000d88394cae	399.50	451.20
1b5329e9-590f-11ea-b113-000d88394cae	608.60	687.36
1b5329eb-590f-11ea-b113-000d88394cae	695.30	785.28
1b5329ed-590f-11ea-b113-000d88394cae	778.60	879.36
1b5329ef-590f-11ea-b113-000d88394cae	554.20	625.92
1b5329f1-590f-11ea-b113-000d88394cae	666.40	752.64
1b5329f3-590f-11ea-b113-000d88394cae	775.20	875.52
1b5329f5-590f-11ea-b113-000d88394cae	867.00	979.20
1b5329f7-590f-11ea-b113-000d88394cae	1031.90	1165.44
1b5329f9-590f-11ea-b113-000d88394cae	1195.10	1349.76
7f15de0c-c254-11e6-8fbd-000d88394cae	154.65	174.66
e8a89aa8-347d-11e4-82ab-000d88394cae	1832.18	2069.28
7f15de0e-c254-11e6-8fbd-000d88394cae	245.16	261.50
e8a89aaa-347d-11e4-82ab-000d88394cae	2676.89	3023.31
261e72a2-6af8-11e4-a4b1-000d88394cae	446.15	503.89
